block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
101,ALJUNIED CRES,1.32092275330584,103.883351967045,3.0,3.0,6.0,3.0,4.0,12.0,13.0,8.0,13.0,23.0,7.0,15.0,10.0,7.0,6.0,11.0,8.0,6.0,6.0,11.0,3.0,4.0,5.0,7.0,3.0,2.0,2.0,,2.0,5.0,4.0,3.0,5.0,7.0,
101,ANG MO KIO AVE 3,1.37026158388488,103.839467898898,1.0,1.0,6.0,3.0,5.0,,4.0,5.0,8.0,8.0,1.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,,
101,BEDOK RESERVOIR RD,1.32844913301988,103.909937396599,3.0,3.0,12.0,7.0,14.0,11.0,10.0,10.0,8.0,14.0,4.0,7.0,6.0,2.0,3.0,3.0,4.0,8.0,6.0,4.0,5.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,5.0,7.0,5.0,3.0,
101,BISHAN ST 12,1.34485915828155,103.848400765185,,1.0,5.0,5.0,5.0,4.0,5.0,3.0,10.0,4.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,6.0,1.0,1.0,4.0,,1.0,,1.0,1.0,1.0,2.0,3.0,,3.0,3.0,5.0,1.0,
101,CLEMENTI ST 14,1.32208936757696,103.76893341249,3.0,3.0,5.0,2.0,8.0,4.0,5.0,6.0,9.0,9.0,6.0,1.0,1.0,2.0,7.0,3.0,4.0,,1.0,2.0,6.0,1.0,,1.0,4.0,,3.0,3.0,1.0,1.0,1.0,1.0,,,
101,GANGSA RD,1.3791643163364,103.767439286222,,2.0,4.0,4.0,7.0,3.0,4.0,3.0,2.0,6.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,,,1.0,1.0,,1.0,,,,2.0,,2.0,3.0,,1.0,
101,HENDERSON CRES,1.29071799751542,103.821625207737,4.0,4.0,2.0,6.0,2.0,4.0,6.0,2.0,7.0,11.0,4.0,6.0,5.0,5.0,9.0,3.0,4.0,4.0,1.0,5.0,2.0,,4.0,1.0,,,4.0,2.0,2.0,2.0,,2.0,2.0,2.0,
101,HOUGANG AVE 1,1.35493747800565,103.891360573947,2.0,,2.0,,5.0,2.0,1.0,6.0,2.0,9.0,1.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,,3.0,,1.0,
101,JLN RAJAH,1.32880086167987,103.850782023537,4.0,1.0,5.0,5.0,4.0,5.0,12.0,7.0,8.0,7.0,3.0,2.0,4.0,,3.0,4.0,5.0,2.0,7.0,3.0,1.0,1.0,1.0,,3.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,
101,JURONG EAST ST 13,1.33701100762296,103.738787314099,10.0,14.0,6.0,11.0,10.0,13.0,17.0,10.0,29.0,25.0,25.0,11.0,13.0,7.0,12.0,14.0,6.0,8.0,8.0,10.0,9.0,7.0,12.0,8.0,5.0,3.0,8.0,2.0,3.0,4.0,3.0,6.0,6.0,7.0,1.0
101,PASIR RIS ST 12,1.36705021516614,103.958181857039,,,2.0,19.0,21.0,9.0,8.0,13.0,16.0,11.0,5.0,6.0,6.0,2.0,3.0,4.0,4.0,1.0,8.0,3.0,9.0,5.0,3.0,3.0,3.0,2.0,3.0,6.0,2.0,4.0,3.0,6.0,2.0,2.0,
101,POTONG PASIR AVE 1,1.33315710123239,103.868380398922,2.0,3.0,6.0,,4.0,7.0,6.0,6.0,5.0,9.0,1.0,2.0,4.0,1.0,8.0,5.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,,,2.0,2.0,3.0,6.0,2.0,1.0,4.0,5.0,1.0,
101,RIVERVALE WALK,1.38276428975736,103.899272029115,,,,,,,,,,,,,,,8.0,4.0,7.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,3.0,3.0,5.0,,2.0,5.0,3.0,3.0,2.0,3.0,
